2023-03-02;"Taller ""El Rápido""";3211.59;Servicio de mantenimiento;432;País Vasco
2023-03-03;Núñez Ortega y Cía.;1455.79;Transporte de mercancía;471;Andalucía
2023-03-04;García S.L.;2714.81;Transporte de mercancía;158;Andalucía
2023-03-05;Peña & Hijos;2371.55;Revisión anual de equipos;345;Galicia
2023-03-06;Fernández, Asociados;3443.07;Servicio de mantenimiento;71;Aragón
2023-03-07;"Taller ""El Rápido""";4697.31;Revisión anual de equipos;370;Cataluña
2023-03-08;Fernández, Asociados;4804.45;Servicio de mantenimiento;187;Andalucía
2023-03-09;Acme Distribuciones S.L.;2076.79;Revisión anual de equipos;455;Andalucía
2023-03-10;Muñoz Hermanos;4943.29;Revisión anual de equipos;30;Cataluña
2023-03-11;Acme Distribuciones S.L.;2490.17;Formación interna;104;Cataluña
2023-03-12;Ibáñez Logística;323.26;Compra de material informático;475;País Vasco
2023-03-13;Muñoz Hermanos;3936.67;Transporte de mercancía;463;Cataluña
2023-03-14;Núñez Ortega y Cía.;2109.25;Transporte de mercancía;261;País Vasco
2023-03-15;Muñoz Hermanos;2115.31;Formación interna;244;Madrid
2023-03-16;Muñoz Hermanos;1307.81;Transporte de mercancía;379;Aragón
2023-03-17;García S.L.;632.42;Transporte de mercancía;178;País Vasco
2023-03-18;Fernández, Asociados;2018.51;Compra de material informático;345;Madrid
2023-03-19;Acme Distribuciones S.L.;2556.83;Servicio de mantenimiento;371;Aragón
2023-03-20;Peña & Hijos;1646.62;Consultoría técnica;417;Andalucía
2023-03-21;Fernández, Asociados;2794.59;Compra de material informático;267;Cataluña
2023-03-22;"Taller ""El Rápido""";4657.82;Transporte de mercancía;305;Andalucía
2023-03-23;Ibáñez Logística;4474.00;Consultoría técnica;229;Cataluña
2023-03-24;Núñez Ortega y Cía.;3620.57;Servicio de mantenimiento;430;Andalucía
2023-03-25;Ibáñez Logística;2047.22;Compra de material informático;39;Andalucía
2023-03-26;García S.L.;3243.77;Transporte de mercancía;334;Cataluña
2023-03-27;García S.L.;713.26;Formación interna;338;Aragón
2023-03-28;"Taller ""El Rápido""";3074.41;Transporte de mercancía;439;Madrid
2023-03-29;García S.L.;3332.30;Servicio de mantenimiento;255;Cataluña
2023-03-30;Muñoz Hermanos;3471.60;Consultoría técnica;326;País Vasco
2023-03-31;Núñez Ortega y Cía.;112.07;Formación interna;96;País Vasco
2023-04-01;Peña & Hijos;4004.71;Servicio de mantenimiento;205;Galicia
2023-04-02;García S.L.;185.99;Consultoría técnica;449;Aragón
2023-04-03;Acme Distribuciones S.L.;427.31;Revisión anual de equipos;409;Aragón
2023-04-04;Muñoz Hermanos;2370.69;Consultoría técnica;421;Andalucía
2023-04-05;Fernández, Asociados;3391.06;Compra de material informático;432;Andalucía
2023-04-06;"Taller ""El Rápido""";2273.57;Formación interna;438;País Vasco
2023-04-07;Núñez Ortega y Cía.;2688.38;Servicio de mantenimiento;476;Andalucía
2023-04-08;Ibáñez Logística;2668.50;Compra de material informático;395;Madrid
2023-04-09;"Taller ""El Rápido""";605.55;Compra de material informático;190;País Vasco
2023-04-10;Ibáñez Logística;3403.93;Consultoría técnica;415;Andalucía
2023-04-11;Núñez Ortega y Cía.;4181.44;Transporte de mercancía;404;País Vasco
2023-04-12;Acme Distribuciones S.L.;545.54;Compra de material informático;98;Andalucía
2023-04-13;Muñoz Hermanos;2009.44;Compra de material informático;357;Galicia
2023-04-14;Muñoz Hermanos;3203.29;Servicio de mantenimiento;210;País Vasco
2023-04-15;Núñez Ortega y Cía.;4004.74;Servicio de mantenimiento;20;Galicia
